Classes: 40
oneclickorgs_one-click-orgs\app\views\constitutions\edit.html.haml
oneclickorgs_one-click-orgs\app\views\directors\_form.html.haml
oneclickorgs_one-click-orgs\app\views\eject_member_proposals\_form.html.haml
oneclickorgs_one-click-orgs\app\views\founding_members\_form.html.haml
oneclickorgs_one-click-orgs\app\views\meetings\_form.html.haml
oneclickorgs_one-click-orgs\app\views\meetings\show.html.haml
oneclickorgs_one-click-orgs\app\views\members\association\index.html.haml
oneclickorgs_one-click-orgs\app\views\members\association\show.html.haml
oneclickorgs_one-click-orgs\app\views\members\company\index.html.haml
oneclickorgs_one-click-orgs\app\views\members\confirm_resign.html.haml
oneclickorgs_one-click-orgs\app\views\members\edit.html.haml
oneclickorgs_one-click-orgs\app\views\members\new.html.haml
oneclickorgs_one-click-orgs\app\views\members\resigned.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_decision.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_failed_proposal.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_meeting.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_new_member.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_open_proposals.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_proposal.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_resignation.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_timeline.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\_vote.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\association\dashboard.html.haml
oneclickorgs_one-click-orgs\app\views\one_click\company\dashboard.html.haml
oneclickorgs_one-click-orgs\app\views\proposals\_description.html.haml
oneclickorgs_one-click-orgs\app\views\proposals\_vote.html.haml
oneclickorgs_one-click-orgs\app\views\proposals\_vote_count.html.haml
oneclickorgs_one-click-orgs\app\views\proposals\show.html.haml
oneclickorgs_one-click-orgs\app\views\setup\index.html.haml
oneclickorgs_one-click-orgs\app\views\shared\_convener_disclaimer.html.haml
oneclickorgs_one-click-orgs\app\views\shared\_propose_freeform_form.html.haml

